id,author,description,terjemahan
1,@jawatulen138,"Kok masih pcy, liat tuh corona stelah ada perang Rusia vs ukraina hilang tuh.. Ini peramainan dunia. Saya pcy adanya penyakit tp seperti coruna dan ini terlalu dibesarkan","How come it's still PCY, see Corona after the Russian vs Ukraine war is gone ... this is a world tamper. I am a disease like a Coruna and this is too raised"
2,@JJM6,"Cuan n cuan.. Bisnis pcr, swab dan vaksin Corona virus....sukses yg kaya makin kaya.. Yg susah makin stres dam gila...wkkkk","Cuan n cuan .. pcr business, swab and vaccine corona virus .... Success that is rich getting richer ... which is difficult to stress and crazy ... wkkkk"
3,@cintachannel9654,"Semoga cukup di Tiongkok jgn menyebar,ke negara2 lain.","Hopefully enough in China does not spread, to other countries."
4,@ermafitria3865,Itu kemungkinan karena virus nyamuk wolbachia,That's probably because of the wolbachia mosquito virus
5,@holishudinshudin1543,Bahaya untuk anak umur di bawah 3 tahun 😢😢😢😢..,Danger for children under 3 years old 😢😢😢😢 ..
6,@limadelapan1854,Hoaxx,Hoaxx
7,@maritjescherle6342,😂😂😂😂😂...,😂😂😂😂😂 ...
8,@ChungdjawDien,PERHATIAN INGAT...bentar lagi pemilu.. 😂😂 1..imigran gelap dri Bangladesh bisa masuk.. Tentara laut kemana? 😂😂 2..mau pemilu tiba tiba.. Ada covid 😂 ngelawak.. Malaysia dan singapura taiwan gak ada berita nya diam diam saja😂😂. Knapa tiba2 di Indonesia ada berita di TV? 😂😂😂 apa yg punya covid nya udah balik ke Indonesia? 😂 Apa saat nanti pemilu ada lockdown? Wkwkwkw...,Attention to remember ... soon the election ... 😂😂 1 ... dark immigrants from Bangladesh can enter ... where is the sea army? 😂😂 2..mu election suddenly ... there is a Covid 😂 Joking .. Malaysia and Singapore Taiwan there is no news silently not. Why suddenly in Indonesia there is news on TV? 😂😂😂 What has the Covid back to Indonesia? 😂 What will there be a lockdown? Wkwkwkw ...
9,@firdhan17firdhan10,Bentar lagi mnjelang lebaran...selalu hadir virus klo mau menjelang lebaran. Ini sbenernya yg mnjadi virus tu media elektronik...yg gk ada jadi se olah2 mnjadi ada.,Soon MNJAngit Eid ... always there is a virus if you want to go before Lebaran. This is actually the one that becomes a virus of the electronic media ... the ones that don't exist so there are any sports.
10,@ahmadmutammim-pi8yg,Tolong cepat tanggap dong pemerintah .....blokir orang orang yang datang dan pergi dari Tiongkok ....sebelum jadi heboh kayak covid kemarin,Please respond quickly to the government ..... block people who come and leave China .... before they become excited like Covid yesterday
11,@Alex-iq6mn,Saat ya menakut nakuti warga. Semoga Cepat mati semua😅😅. Dunia Cepat tamat,"When yes, frightening the residents. I hope all die quickly. The world is fast"
12,@haniatulaisyiah2774,Gx usah di besar2kan .. gx usah di ladenin berita beginian,I don't need to be able to grow up .. I don't need to be ladenin news like this
13,@NaylaPutri-gq5uk,Era skrang kerja nya nakuti rakyat terus Demi untuk mendapatkan cuan dari uang negara buat melabui rakyat,The era is now working on the people to continue to get the people to get a cuan from state money to finish the people
14,@barbar1128,"Demam, batuk, flu aja kalian besar""in...kerja kalian hanya mnyebar hoax","Fever, cough, just the flu you grew up ""In ... your work only spreads hoaxes"
15,@komangmalika9102,Di PHK iya uang gak ada makan gak bisa itu lebih memetika,"At the layoff, yes, there is no money, it can't be more memely"
16,@MamyolandYoland-qd3wb,"Jual vaksin ,,,nyamuk buatan","Selling vaccines ,,, artificial mosquitoes"
17,@mandhalaarya421,"Padahal gak pernah di keramaian tapi bayi ku kena pneumonia sekarang,,gak jelas asalnya","Even though it was never in the crowd but my baby was hit by pneumonia now ,, it wasn't clear"
